Pitcher,PitchType,RelSpeed,SpinRate,InducedVertBreak,HorzBreak,RelHeight,RelSide,Extension,PlateLocSide,PlateLocHeight,PitchCall
Sample Pitcher,Fastball,91.22933549145915,2286.3895243882453,16.643121681180318,8.329159937929898,6.044068261620751,1.9635249050535992,5.948537070905235,-1.2595678012419629,1.0024326386453366,BallCalled
Sample Pitcher,Fastball,92.55107305785992,2239.8415262087465,17.616217814079526,9.389840103825588,5.880030219239461,1.6899908497982927,5.622471558301822,-1.2950386142403183,2.1771296870270094,InPlay
Sample Pitcher,Fastball,89.65573260387177,2236.078208859426,15.485116357244701,6.25956928106022,6.018669645079634,1.7188653464605805,5.663130663534415,0.463478068165456,1.355927612817006,StrikeSwinging
Sample Pitcher,Fastball,92.79639929783883,2419.0004530306805,17.171021634888668,8.01851818613921,5.874166979285886,1.851724756421557,6.459638481995702,-0.8636282335300831,3.629954255149199,BallCalled
Sample Pitcher,Fastball,93.56700893874216,2219.4326084045283,16.074610998166897,6.328415520423927,5.965158878987721,1.8889829071056166,6.516719648819933,0.2250643318789251,4.023856946074254,InPlay
Sample Pitcher,Slider,84.79367639936324,2500.1613400320043,-0.421547155050217,-0.45442015381791245,5.674558836912914,1.9152725606010899,6.1185452410447905,0.10243088811855997,1.6063521732434487,InPlay
Sample Pitcher,Fastball,95.04313779459615,2137.125645864183,15.613071860138405,7.155349883779544,5.5042582885563345,1.7865388291906006,5.935234246818697,-0.04853144618233285,2.5925690100284386,StrikeCalled
Sample Pitcher,Changeup,83.46763830385592,1830.117837228173,6.496735923668451,9.606986733607666,5.956632028034878,1.8792925082331875,6.040310214901978,0.32880390253677705,1.6796972010023608,StrikeSwinging
Sample Pitcher,Fastball,92.80441658142456,2126.244009634199,14.95501013124183,7.516966057042798,5.964677468905885,1.9118442910385132,6.274714840497272,0.11872765281789464,2.1680132984591163,InPlay
Sample Pitcher,Fastball,92.44984535466766,2336.8624229290735,16.64272439298375,7.027372812547391,5.9713253499727825,1.8300853707850275,5.9971221960355905,-2.032297307085712,3.752601995966854,InPlay
Sample Pitcher,Fastball,92.35958326557923,2531.9727499653577,16.35196928155714,8.07733184498744,5.821260122786798,1.7786012830103557,6.147526773408337,-0.24271893063636765,2.049983589205136,InPlay
Sample Pitcher,Fastball,92.33994896479335,2246.998908571453,13.614025452595873,6.279555907600356,6.123458337831556,1.5832057577653305,6.0974487899037495,0.3188273505475733,2.185471903322165,StrikeCalled
Sample Pitcher,Fastball,92.64994704201327,2129.9917860308788,13.522711007140963,8.643204826750866,5.831018327639447,1.8898761235169983,5.986237465983428,1.230212108066249,1.6931030495792272,BallCalled
Sample Pitcher,Fastball,93.68714224084918,2360.999969798676,16.63702667980863,9.697080142937466,5.9631318529508555,1.8063260548711726,5.994761450801626,1.2648432124368731,3.2596420332486473,FoulBall
