Batter,PitchType,PlateLocSide,PlateLocHeight,PitchCall,ExitSpeed,Angle,RelSpeed,PitcherHand,Count
Sample Hitter,Changeup,0.23908888565835668,2.291873646111655,InPlay,100.55930344619519,19.309455259636533,84.74239784819696,R,1-1
Sample Hitter,Fastball,1.2100883510839147,2.5696342311110167,BallCalled,,,92.6002975396567,L,1-0
Sample Hitter,Changeup,-0.6907999548997662,2.439729543725266,InPlay,92.05537659599844,9.084212859583978,83.61165543408278,R,1-0
Sample Hitter,Slider,-0.17169449215947682,3.0535642851830564,StrikeSwinging,,,79.23322259408528,R,0-0
Sample Hitter,Fastball,0.5441363032432208,2.7412516583652367,InPlay,90.8700705781329,-9.050991110742178,91.61968361862444,R,1-1
Sample Hitter,Curveball,0.304336252126633,2.967828212675598,StrikeCalled,,,76.97810014214514,L,0-0
Sample Hitter,Slider,-0.26330924986106946,2.0181394024384685,InPlay,85.77083917243465,13.993242834524494,86.93987446188247,R,0-0
Sample Hitter,Changeup,-0.09367607516122879,3.1284707858873837,StrikeSwinging,,,83.55694311156786,R,0-0
Sample Hitter,Fastball,-0.9624270658589872,3.640255863336794,BallCalled,,,91.56879054474096,R,1-0
Sample Hitter,Fastball,-0.16672162078226566,1.8208953362440112,InPlay,78.89647574788106,-9.433786360578978,91.24726364038949,R,1-2
Sample Hitter,Fastball,-0.18647124300626858,1.878613040999808,InPlay,86.48091732532619,-9.686006438307565,88.9047888356759,R,1-0
Sample Hitter,Curveball,0.16251892273837915,3.435049035424163,StrikeCalled,,,80.46324490877723,L,2-0
Sample Hitter,Slider,-0.3887290531733112,2.366059209313458,InPlay,89.71077365297198,13.914597738457811,83.93279312008772,L,0-2
Sample Hitter,Changeup,0.3300769657815973,3.48267497444659,InPlay,80.61677770258603,16.042123318303187,80.10526553981923,R,1-0
Sample Hitter,Fastball,0.7089010724738799,2.190225001675471,StrikeCalled,,,89.17051391924066,R,2-1
Sample Hitter,Fastball,0.10880052936792622,3.5185319033894977,BallCalled,,,91.92415529692381,R,0-2
Sample Hitter,Slider,0.2462294858794424,2.5920400717638166,InPlay,99.94379933785727,25.19166611589344,85.66905109473811,R,1-1
Sample Hitter,Fastball,0.03720874330450715,2.6807601763258866,InPlay,100.28209179891219,19.807787527418323,87.25678238666937,R,0-0
Sample Hitter,Changeup,5.907516398992629e-05,3.595302615168933,FoulBall,,,84.86892187217087,R,0-0
Sample Hitter,Slider,-0.5050906234799931,2.24676066578908,StrikeSwinging,,,86.95892428770439,R,3-2
Sample Hitter,Slider,0.2215459831713156,1.8412145328525291,InPlay,94.25931880835202,23.23083449644554,83.61985665419851,R,2-1
Sample Hitter,Fastball,-0.06810061888944262,2.186005054380152,InPlay,85.65082403289982,28.660743994611114,89.46191518392052,R,2-2
Sample Hitter,Curveball,1.4652178162514162,2.816633765450197,BallCalled,,,83.50715621219429,R,1-2
Sample Hitter,Changeup,1.1013484317326696,1.40396864947364,BallCalled,,,85.12211824146496,R,0-0
Sample Hitter,Changeup,0.27009258678955056,2.9462296318557852,InPlay,87.28668152425689,22.085532724013092,81.38451265246161,L,2-1
Sample Hitter,Fastball,-0.5341400467863372,2.1228600776675797,FoulBall,,,91.79037126856934,L,0-1
Sample Hitter,Fastball,-0.7786880303883925,3.3034688625134945,FoulBall,,,90.97045211068655,L,2-1
Sample Hitter,Fastball,0.8338000671622056,0.8240177865696701,BallCalled,,,90.61544213446409,L,0-0
Sample Hitter,Fastball,0.18392445760299694,1.9494039574270818,FoulBall,,,93.02920352240125,R,1-0
Sample Hitter,Slider,0.33610038237412754,1.3194722941361288,BallCalled,,,85.30308124128791,L,0-2
Sample Hitter,Slider,-1.2212101908819348,1.9216393735452333,BallCalled,,,85.24320262624194,R,2-1
Sample Hitter,Curveball,0.6492069370907265,2.67336613077626,StrikeSwinging,,,76.06749168755238,R,1-1
Sample Hitter,Fastball,0.31809423675005405,2.3745413621851714,FoulBall,,,93.80128069076437,R,1-0
Sample Hitter,Fastball,-0.7773014790901346,2.3226357017363894,StrikeCalled,,,92.20810357250694,R,1-0
Sample Hitter,Fastball,-0.33006736521496427,2.3885705900339573,FoulBall,,,93.72631517548972,R,2-2
Sample Hitter,Fastball,0.18460204304956368,2.6423717684339603,StrikeCalled,,,93.9158100948066,R,0-1
Sample Hitter,Fastball,0.03672675884937054,1.7940247706398247,StrikeCalled,,,90.2300414135054,L,0-1
Sample Hitter,Fastball,-0.2045198300624885,2.9947947486293356,InPlay,73.07231366061298,31.739347228592713,88.02208309688436,L,1-1
Sample Hitter,Fastball,-0.0724417876461726,2.963866179269839,StrikeSwinging,,,95.39568428323201,R,0-1
Sample Hitter,Slider,-0.17638416474481974,2.7695265563592706,StrikeSwinging,,,87.1399969699979,R,1-1
Sample Hitter,Fastball,0.10679375847172799,2.8895734099258843,StrikeCalled,,,88.22813102990854,L,0-1
Sample Hitter,Changeup,1.0300443810952098,2.7074926005660616,BallCalled,,,85.76724359341604,R,2-1
